LegalDescription,TownshipRange,Township,Range,Section,County,Created,Modified,Modified By,TownshipRange,DocumentName,ID
"<font color=""%23000000"">SECTION 32, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 32</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","03099DEA.pdf","11"
"<font color=""%23000000"">SECTION 32, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 32</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309A695.pdf","12"
"<font color=""%23000000"">SECTION 29, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 29</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309A698.pdf","13"
"<font color=""%23000000"">SECTION 24, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 24</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309B91D.pdf","14"
"<font color=""%23000000"">SECTIONS 4 AND 9, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 4 AND 9</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309C6EB.pdf","15"
"<font color=""%23000000"">SECTIONS 4 AND 9, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 4 AND 9</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309C6EC.pdf","16"
"<font color=""%23000000"">SECTIONS 4 AND 9, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 4 AND 9</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309C6EE.pdf","17"
"<font color=""%23000000"">SECTIONS 2 &amp; 11, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 2 &amp; 11</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309D068.pdf","18"
"<font color=""%23000000"">SECTIONS 2 &amp; 11, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 2 &amp; 11</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309D069.pdf","19"
"<font color=""%23000000"">SECTIONS 2 &amp; 11, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 2 &amp; 11</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309D06A.pdf","20"
"<font color=""%23000000"">SECTION 2, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 2</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309D06B.pdf","21"
"<font color=""%23000000"">SECTION 11, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 11</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309D06C.pdf","22"
"<font color=""%23000000"">SECTION 11, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 11</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309D06D.pdf","23"
"<font color=""%23000000"">SECTIONS 1 AND 12, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 1 AND 12</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309D5C0.pdf","24"
"<font color=""%23000000"">SECTIONS 1 AND 12, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 1 AND 12</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309D5C1.pdf","25"
"<font color=""%23000000"">SECTIONS 1 AND 12, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 1 AND 12</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309D5C2.pdf","26"
"<font color=""%23000000"">SECTION 1, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 1</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309D5C3.pdf","27"
"<font color=""%23000000"">SECTION 12, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 12</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309D5C5.pdf","28"
"<font color=""%23000000"">SECTION 12, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 12</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309D5C6.pdf","29"
"<font color=""%23000000"">SECTIONS 26 AND 35, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 26 AND 35</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309D9BE.pdf","30"
"<font color=""%23000000"">SECTIONS 26 AND 35, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 26 AND 35</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309D9BF.pdf","31"
"<font color=""%23000000"">SECTIONS 26 AND 35, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 26 AND 35</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309D9C0.pdf","32"
"<font color=""%23000000"">SECTION 26, TOWNSHIP 17 NORTH, 	 REPLACEMFAJW RJPJ Fg ON RANGE 9 WEST, KINGFISHER 	 	 FILED / RECEIVED</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 26</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309D9C1.pdf","33"
"<font color=""%23000000"">SECTIONS 6 &amp; 7, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 6 &amp; 7</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309D9C2.pdf","34"
"<font color=""%23000000"">SECTIONS 6 &amp; 7, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 6 &amp; 7</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309D9C4.pdf","35"
"<font color=""%23000000"">SECTIONS 4 AND 9, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 4 AND 9</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309D9C7.pdf","36"
"<font color=""%23000000"">SECTION 4, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 4</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309D9C9.pdf","37"
"<font color=""%23000000"">SECTION 9, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 9</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309D9CA.pdf","38"
"<font color=""%23000000"">SECTIONS 1 AND 12, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 1 AND 12</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309D9CB.pdf","39"
"<font color=""%23000000"">SECTIONS 1 AND 12, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 1 AND 12</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","occ5190790.pdf","40"
"<font color=""%23000000"">SECTIONS 1 AND 12, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 1 AND 12</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","occ5190799.pdf","41"
"<font color=""%23000000"">SECTIONS 1 AND 12, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 1 AND 12</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","occ5190802.pdf","42"
"<font color=""%23000000"">SECTIONS 1 AND 12, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 1 AND 12</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","occ5190803.pdf","43"
"<font color=""%23000000"">SECTIONS 27 AND 34, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 27 AND 34</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309F0C2.pdf","44"
"<font color=""%23000000"">SECTIONS 27 AND 34, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 27 AND 34</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309F0C3.pdf","45"
"<font color=""%23000000"">SECTIONS 27 AND 34, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 27 AND 34</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309F0C4.pdf","46"
"<font color=""%23000000"">SECTION 34, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 34</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309F0C5.pdf","47"
"<font color=""%23000000"">SECTION 34, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 34</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","occ5194558.pdf","48"
"<font color=""%23000000"">SECTION 27, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 27</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309F45C.pdf","49"
"<font color=""%23000000"">SECTION 34, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 34</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","0309F45D.pdf","50"
"<font color=""%23000000"">SECTIONS 28 AND 33, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 28 AND 33</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A0A18.pdf","51"
"<font color=""%23000000"">SECTIONS 28 AND 33, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 28 AND 33</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A0A19.pdf","52"
"<font color=""%23000000"">SECTIONS 28 AND 33, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 28 AND 33</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A0A1B.pdf","53"
"<font color=""%23000000"">SECTION 33, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 33</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A0A1C.pdf","54"
"<font color=""%23000000"">SECTION 28, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 28</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A0A1E.pdf","55"
"<font color=""%23000000"">SECTIONS 28 AND 33, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 28 AND 33</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A0A20.pdf","56"
"<font color=""%23000000"">SECTIONS 18 AND 19, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 18 AND 19</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A18F8.pdf","57"
"<font color=""%23000000"">SECTIONS 18 AND 19, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 18 AND 19</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A18F9.pdf","58"
"<font color=""%23000000"">SECTIONS 18 AND 19, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 18 AND 19</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A18FA.pdf","59"
"<font color=""%23000000"">SECTIONS 18 AND 19, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 18 AND 19</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A18FB.pdf","60"
"<font color=""%23000000"">SECTION 19, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 19</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A18FC.pdf","61"
"<font color=""%23000000"">SECTION 18, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 18</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A2EE4.pdf","62"
"<font color=""%23000000"">SECTION 19, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 19</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A2EE5.pdf","63"
"<font color=""%23000000"">SECTIONS 17 AND 20, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 17 AND 20</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A2EEA.pdf","64"
"<font color=""%23000000"">SECTIONS 17 AND 20, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 17 AND 20</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A2EEB.pdf","65"
"<font color=""%23000000"">SECTIONS 17 AND 20, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 17 AND 20</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A2EEC.pdf","66"
"<font color=""%23000000"">SECTION 17, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 17</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A2EED.pdf","67"
"<font color=""%23000000"">SECTION 20, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 20</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A2EEE.pdf","68"
"<font color=""%23000000"">SECTIONS 3 AND 10, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 3 AND 10</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A53CB.pdf","69"
"<font color=""%23000000"">SECTIONS 3 AND 10, CAUSE CD NO. 201502961-T LAC _ ME Vop F0 FILED 0 FILED IRECEt\JW TOWNSHIP 17 NORTH, RANGE 9 WEST, 	 9 KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 3 AND 10</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A53CC.pdf","70"
"<font color=""%23000000"">SECTIONS 3 AND 10, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 3 AND 10</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A53CD.pdf","71"
"<font color=""%23000000"">SECTION 3, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 3</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A53CE.pdf","72"
"<font color=""%23000000"">SECTIONS 3 AND 10, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 3 AND 10</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A752F.pdf","73"
"<font color=""%23000000"">SECTIONS 14 AND 23, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 14 AND 23</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A7532.pdf","74"
"<font color=""%23000000"">SECTIONS 14 AND 23, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 14 AND 23</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A7533.pdf","75"
"<font color=""%23000000"">SECTIONS 14 AND 23, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 14 AND 23</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A7534.pdf","76"
"<font color=""%23000000"">SECTION 14, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 14</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A7535.pdf","77"
"<font color=""%23000000"">SECTION 23, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 23</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A7536.pdf","78"
"<font color=""%23000000"">SECTION 6, TOWNSHIP 17 NORTH, 	 FJUL RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 6</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A7A3E.pdf","79"
"<font color=""%23000000"">SECTION 7, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTION 7</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A7A3F.pdf","80"
"<font color=""%23000000"">SECTIONS 15 AND 22, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 15 AND 22</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A7A42.pdf","81"
"<font color=""%23000000"">SECTIONS 15 AND 22, TOWNSHIP 17 NORTH, RANGE 9 WEST, KINGFISHER</font>","T17N-R9W","T17N","R9W","<font color=""%23000000"">SECTIONS 15 AND 22</font>","KINGFISHER","05/17/2016 02:46 PM","05/17/2016 02:46 PM","Lance Mason","T17N-R9W","030A7A44.pdf","82"
